name,device_id,token,room,floor,type
gateway-room-205,b305a650-13e0-11f1-a750-f365853900c5,YuWpZ08fZOxw0KJsKOr8,205,2,SUITE
gateway-room-206,b3181ce0-13e0-11f1-a750-f365853900c5,zrIjGkEHIj9GiEiIzebC,206,2,SUITE
gateway-room-207,b33038c0-13e0-11f1-a750-f365853900c5,6NsJVSyLwy4yFUCIMcmi,207,2,VIP
gateway-room-208,b336ef80-13e0-11f1-a750-f365853900c5,xning02AgqZ7LovCwfwz,208,2,VIP
gateway-room-301,b32b08a0-13e0-11f1-a750-f365853900c5,0CLSl7cWIAK3xuQtHQCw,301,3,STANDARD
gateway-room-302,b31e8580-13e0-11f1-a750-f365853900c5,r3nNMZPifdsT0kRg6Mc5,302,3,STANDARD
gateway-room-303,b325ff90-13e0-11f1-a750-f365853900c5,ygs2wkdk9Z1dyvGlwhui,303,3,STANDARD
gateway-room-304,b3142540-13e0-11f1-a750-f365853900c5,Slxg6JMbMV6W93kcZKEu,304,3,STANDARD
gateway-room-305,b39981e0-13e0-11f1-a750-f365853900c5,qyTzomY4q3vqjJZAKvPd,305,3,SUITE
gateway-room-306,b38bc640-13e0-11f1-a750-f365853900c5,OVEYgnSfKpMb7OfaaUhT,306,3,SUITE
gateway-room-307,b3b26110-13e0-11f1-a750-f365853900c5,HBcIobV9U0AOsl0M4q48,307,3,VIP
gateway-room-308,b39207d0-13e0-11f1-a750-f365853900c5,CmRCxfl1THyWJjkatDGQ,308,3,VIP
gateway-room-401,b3953c20-13e0-11f1-a750-f365853900c5,joJ9AbZcvnCK024ZGewf,401,4,STANDARD
gateway-room-402,b38e8560-13e0-11f1-a750-f365853900c5,p9fen7aLXCBKuckH1kuA,402,4,STANDARD
gateway-room-403,b3a5ddf0-13e0-11f1-a750-f365853900c5,NF9Mp0WiP6HAcatISlVB,403,4,STANDARD
gateway-room-404,b3bc2510-13e0-11f1-a750-f365853900c5,zIlexjMJxg4FFdPlQdpu,404,4,STANDARD
gateway-room-405,b39ba4c0-13e0-11f1-a750-f365853900c5,766iMvlzKVGSrtbKzclb,405,4,SUITE
gateway-room-406,b3b6a6d0-13e0-11f1-a750-f365853900c5,p3D8S3nwP6KftF1VxlAR,406,4,SUITE
gateway-room-407,b402f210-13e0-11f1-a750-f365853900c5,cDFgEMh7OhocZZ3yyLy3,407,4,VIP
gateway-room-408,b4140910-13e0-11f1-a750-f365853900c5,LxGP9dGG4eqUIk7v4PKS,408,4,VIP
gateway-room-501,b40737d0-13e0-11f1-a750-f365853900c5,mH0LAK9JnUcKBoUzlUgk,501,5,STANDARD
gateway-room-502,b4005a00-13e0-11f1-a750-f365853900c5,nQqITwLTk2UJw0SQqh3r,502,5,STANDARD
gateway-room-503,b418c400-13e0-11f1-a750-f365853900c5,Met2yOSt9lqqTGPkHLAx,503,5,STANDARD
gateway-room-504,b423c080-13e0-11f1-a750-f365853900c5,h7QoGsjTIrSpG0ZKyoVN,504,5,STANDARD
gateway-room-505,b41f0590-13e0-11f1-a750-f365853900c5,s9C51jtpWUbMV6WPL1aG,505,5,SUITE
gateway-room-506,b40f7530-13e0-11f1-a750-f365853900c5,g5rI1j1mC65O415lu9Eh,506,5,SUITE
gateway-room-507,b40b7d90-13e0-11f1-a750-f365853900c5,MZ7NIt0TTiIeBxuVjfP2,507,5,VIP
gateway-room-508,b42917b0-13e0-11f1-a750-f365853900c5,vw4imdZk81JixOZ5UELG,508,5,VIP
gateway-room-601,b4736720-13e0-11f1-a750-f365853900c5,CwbgfqcpXt7WGg1ZK7SM,601,6,STANDARD
gateway-room-602,b48b5bf0-13e0-11f1-a750-f365853900c5,urPiM3RbGxmuRbsh7RLR,602,6,STANDARD
gateway-room-603,b479cfc0-13e0-11f1-a750-f365853900c5,x1Jag3xB0XvCwKJ75g9j,603,6,STANDARD
gateway-room-604,b476c280-13e0-11f1-a750-f365853900c5,9kcvM9VblX1FSr28195q,604,6,STANDARD
gateway-room-605,b48170e0-13e0-11f1-a750-f365853900c5,74Xujwj16Q8NFu8VFKmg,605,6,SUITE
gateway-room-606,b47e63a0-13e0-11f1-a750-f365853900c5,5qlBVfelCIXycvAEzVpr,606,6,SUITE
gateway-room-607,b4714440-13e0-11f1-a750-f365853900c5,y4yHJqwAmyNUv8Ry7VpS,607,6,VIP
gateway-room-608,b491c490-13e0-11f1-a750-f365853900c5,gLsnlvsnx0dt09zUhM4I,608,6,VIP
gateway-room-701,b484cc40-13e0-11f1-a750-f365853900c5,kdqSZwYZ24s8IYZzqo6e,701,7,STANDARD
gateway-room-702,b488eaf0-13e0-11f1-a750-f365853900c5,zW6RbpOOYFCw81f4UhAr,702,7,STANDARD
gateway-room-703,b4defa30-13e0-11f1-a750-f365853900c5,cenG8pLweXHhb8OyGjsY,703,7,STANDARD
gateway-room-704,b4e49f80-13e0-11f1-a750-f365853900c5,qVPrh0WQNGjre0okSuWx,704,7,STANDARD
gateway-room-705,b4da1830-13e0-11f1-a750-f365853900c5,v9YNw5LeYGYbSe4TvDU8,705,7,SUITE
gateway-room-706,b4e73790-13e0-11f1-a750-f365853900c5,ZXts41SOHeHoav9Wife5,706,7,SUITE
gateway-room-707,b4f8c3c1-13e0-11f1-a750-f365853900c5,oDZjWowPRBmxghhWdahk,707,7,VIP
gateway-room-708,b4e1e060-13e0-11f1-a750-f365853900c5,q8qgbW3LnGjcAJ5m1P4u,708,7,VIP
gateway-room-801,b4fede40-13e0-11f1-a750-f365853900c5,zjfPVvOQDyjY5jrVBDJo,801,8,STANDARD
gateway-room-802,b4f34580-13e0-11f1-a750-f365853900c5,hsG5Xr62nVCMiuRtKgvx,802,8,STANDARD
gateway-room-803,b4e95a70-13e0-11f1-a750-f365853900c5,q8DjlnjRTEYkMAWGQv11,803,8,STANDARD
gateway-room-804,b4ee1560-13e0-11f1-a750-f365853900c5,MKyetV1GrInUDkaLlXpZ,804,8,STANDARD
gateway-room-805,b5466e90-13e0-11f1-a750-f365853900c5,RnuYt5IoiEqYHwWcgckX,805,8,SUITE
gateway-room-806,b543af70-13e0-11f1-a750-f365853900c5,Kvn9ak7qGQG3eg9npo98,806,8,SUITE
gateway-room-807,b54efa10-13e0-11f1-a750-f365853900c5,A5eENMNNp805ZxgfKKio,807,8,VIP
gateway-room-808,b5489170-13e0-11f1-a750-f365853900c5,REUPE3jYMWmQJpDPLuJ9,808,8,VIP
gateway-room-901,b55b5620-13e0-11f1-a750-f365853900c5,RBrWHtsp9AYCLqJdq09j,901,9,STANDARD
gateway-room-902,b55f4dc0-13e0-11f1-a750-f365853900c5,PWdtSAheWwECY7we3Nd3,902,9,STANDARD
gateway-room-903,b54bc5c0-13e0-11f1-a750-f365853900c5,G4BXXHstJZyCsfxQzVU6,903,9,STANDARD
gateway-room-904,b55562b0-13e0-11f1-a750-f365853900c5,kle40alBjyis8KTqBiY7,904,9,STANDARD
gateway-room-905,b551e040-13e0-11f1-a750-f365853900c5,9cBFGkIn79FBO7n9L6Qo,905,9,SUITE
gateway-room-906,b5598160-13e0-11f1-a750-f365853900c5,n2th8RmQ220O3pUtCahE,906,9,SUITE
gateway-room-907,b5a88bc0-13e0-11f1-a750-f365853900c5,TB4huZCLJBfkGIodYIyc,907,9,VIP
gateway-room-908,b5acd180-13e0-11f1-a750-f365853900c5,vSUsnn1Tcnnnd63y07J5,908,9,VIP
